National-ID-Animal;Farm-ID-Animal;Date;Time;ScoreCondition;ScoreFeedIntake;ScoreScours;ScoreRespiratory
276000312342013;2013;2023-07-24;16:06:01;Green;Yellow;Green;Green
276000312342014;2014;2023-07-24;15:29:10;Green;Green;None;Yellow
276000312342015;2015;2023-07-24;15:39:19;Yellow;Green;Yellow;Red
276000312342016;2016;2023-07-24;17:00:09;Yellow;Yellow;Green;Yellow
276000312342017;2017;2023-07-24;14:54:17;Yellow;Red;Green;Yellow
276000312342018;2018;2023-07-24;15:10:41;Yellow;Green;Green;Yellow
276000312342019;2019;2023-07-24;15:23:41;Red;Green;Yellow;Yellow
276000312342020;2020;2023-07-24;15:22:35;Green;Yellow;Yellow;Yellow
276000312342021;2021;2023-07-24;15:57:04;Green;Red;Green;Green
276000312342022;2022;2023-07-24;16:13:53;Green;Green;Green;Green
276000312342023;2023;2023-07-24;16:17:06;Green;Yellow;Green;Red
276000312342024;2024;2023-07-24;16:48:57;Green;Red;Green;Green
276000312342025;2025;2023-07-24;15:12:28;Green;Green;Green;Green
276000312342026;2026;2023-07-24;15:40:57;Yellow;Green;Green;Yellow
276000312342027;2027;2023-07-24;14:30:04;Yellow;Green;Yellow;Yellow
276000312342028;2028;2023-07-24;17:06:31;Yellow;Green;Green;Red
276000312342029;2029;2023-07-24;14:32:23;Green;Red;Green;Yellow
276000312342030;2030;2023-07-24;15:45:03;Red;None;Yellow;Green
276000312342031;2031;2023-07-24;16:52:40;Green;Green;Green;
276000312342032;2032;2023-07-24;15:26:29;Green;Green;Yellow;Green
276000312342033;2033;2023-07-24;14:35:14;Green;Green;Green;Yellow
276000312342034;2034;2023-07-24;15:48:05;Green;Green;Green;Green
276000312342035;2035;2023-07-24;16:27:11;Yellow;Yellow;Yellow;Green
276000312342036;2036;2023-07-24;15:18:49;Green;Green;Yellow;Green
276000312342037;2037;2023-07-24;17:03:34;Yellow;Yellow;Yellow;Green
276000312342038;2038;2023-07-24;16:10:54;Yellow;Yellow;Yellow;Green
276000312342039;2039;2023-07-24;16:40:28;Green;Yellow;Green;Green
276000312342040;2040;2023-07-24;14:45:52;Yellow;Red;Green;Yellow
276000312342041;2041;2023-07-24;14:52:20;Green;Green;Yellow;Red
276000312342042;2042;2023-07-24;16:15:20;Green;Green;Green;Green
276000312342043;2043;2023-07-24;16:25:41;Green;Yellow;Green;Yellow
276000312342044;2044;2023-07-24;16:04:58;Green;Yellow;Green;Yellow
276000312342045;2045;2023-07-24;15:46:15;Green;Green;Yellow;Green
276000312342046;2046;2023-07-24;14:33:46;Green;Green;Yellow;Green
276000312342047;2047;2023-07-24;16:59:02;Yellow;Yellow;Yellow;Yellow
276000312342048;2048;2023-07-24;16:42:10;Green;Green;Green;Green
276000312342049;2049;2023-07-24;16:03:07;Green;Green;Green;Yellow
276000312342050;2050;2023-07-24;15:50:03;None;Green;Green;None
276000312342051;2051;2023-07-24;16:12:17;None;Green;Red;Green
276000312342052;2052;2023-07-24;14:37:45;None;Green;Green;Green
276000312342053;2053;2023-07-24;16:55:09;Green;Green;Red;Red
276000312342054;2054;2023-07-24;15:06:24;Green;Yellow;Yellow;Green
276000312342055;2055;2023-07-24;15:52:00;None;None;Red;Yellow
276000312342056;2056;2023-07-24;16:46:05;Yellow;Green;Yellow;Green
276000312342057;2057;2023-07-24;16:24:10;Red;Yellow;Green;Red
276000312342058;2058;2023-07-24;16:02:00;Red;Yellow;None;Green
276000312342059;2059;2023-07-24;16:47:28;Green;Green;Green;Red
276000312342060;2060;2023-07-24;16:37:05;Yellow;Yellow;None;Red
276000312342061;2061;2023-07-24;16:09:01;Yellow;Green;Green;Green
276000312342062;2062;2023-07-24;15:27:52;None;Red;Yellow;Red
276000312342063;2063;2023-07-24;16:53:55;Green;None;Red;Green
276000312342064;2064;2023-07-24;16:43:26;Red;Yellow;Yellow;Yellow
276000312342065;2065;2023-07-24;14:50:23;Yellow;Yellow;Green;Green
276000312342066;2066;2023-07-24;16:33:34;Red;Green;Green;Green
276000312342067;2067;2023-07-24;17:05:07;Green;None;Green;Green
276000312342068;2068;2023-07-24;15:42:22;Green;Green;Green;Yellow
276000312342069;2069;2023-07-24;16:50:06;Green;Yellow;Yellow;Green
276000312342070;2070;2023-07-24;14:40:05;Yellow;Green;Green;Green
276000312343007;3007;2023-07-24;15:15:54;Green;Green;Yellow;Yellow
276000312343044;3044;2023-07-24;15:36:12;Green;Green;None;Green
276000312343065;3065;2023-07-24;15:32:40;Red;Green;Yellow;Green
276000312343117;3117;2023-07-24;14:31:10;Yellow;Green;Green;Green
276000312343204;3204;2023-07-24;15:09:05;Green;Yellow;Green;Green
276000312343232;3232;2023-07-24;15:43:51;Green;Green;Yellow;Yellow
276000312343308;3308;2023-07-24;15:03:41;Green;Green;Yellow;Green
276000312343376;3376;2023-07-24;17:02:03;Green;Green;Green;Green
276000312343409;3409;2023-07-24;16:22:48;Red;Red;Yellow;Green
276000312343420;3420;2023-07-24;16:51:27;Green;Yellow;Red;None
276000312343505;3505;2023-07-24;16:35:20;Yellow;Green;Yellow;Green
276000312343535;3535;2023-07-24;15:55:49;Red;Green;None;Red
276000312343540;3540;2023-07-24;15:07:30;Yellow;Yellow;Green;None
276000312343558;3558;2023-07-24;14:41:30;Green;Green;None;Green
276000312343587;3587;2023-07-24;16:00:51;Yellow;Yellow;Green;Green
276000312343597;3597;2023-07-24;15:02:30;None;Green;Green;Yellow
276000312343619;3619;2023-07-24;15:17:24;Green;Green;Green;Green
276000312343627;3627;2023-07-24;16:18:35;Green;Yellow;Green;Green
276000312343721;3721;2023-07-24;16:44:55;Green;Yellow;Green;Green
276000312343892;3892;2023-07-24;15:25:01;Green;Yellow;Red;Yellow
276000312343899;3899;2023-07-24;15:05:03;Yellow;None;Green;Green
276000312343913;3913;2023-07-24;16:28:28;None;Green;Green;Green
276000312343915;3915;2023-07-24;15:35:09;Green;Yellow;Green;None
276000312343940;3940;2023-07-24;16:31:05;Yellow;Green;Green;Green
276000312343978;3978;2023-07-24;16:01:00;Green;Green;None;None
